Starting to receive mocap frames...

{'id_num': 42, 'pos': (0.31223270297050476, 0.3319547772407532, -0.0023667910136282444), 'rot': (0.9261971116065979, 0.37665075063705444, -0.00017176535038743168, 0.017126278951764107), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018214881129097193}
{'id_num': 42, 'pos': (0.31223034858703613, 0.33200016617774963, -0.0023720914032310247), 'rot': (0.9261634349822998, 0.37673184275627136, -0.0001562421239214018, 0.017163610085844994), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017770864360500127}
{'id_num': 42, 'pos': (0.31223103404045105, 0.3320022225379944, -0.002373885130509734), 'rot': (0.9261716604232788, 0.37671247124671936, -0.00016888557001948357, 0.017145872116088867), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017315670265816152}
{'id_num': 42, 'pos': (0.3122393488883972, 0.3320104777812958, -0.002366909757256508), 'rot': (0.9261685013771057, 0.37671738862991333, -0.0001464460656279698, 0.017203832045197487), 'markers': None, 'tracking_valid': True, 'marker_error': 0.000192251056432724}
{'id_num': 42, 'pos': (0.31224557757377625, 0.3320135772228241, -0.0023701980244368315), 'rot': (0.9261614084243774, 0.3767344057559967, -0.00018023060692939907, 0.017215965315699577), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001825366198318079}
{'id_num': 42, 'pos': (0.312238484621048, 0.3320080637931824, -0.002371202688664198), 'rot': (0.9261799454689026, 0.3766869604587555, -0.0001488906127633527, 0.01725412905216217), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017610452778171748}
{'id_num': 42, 'pos': (0.3122367262840271, 0.33200547099113464, -0.0023728185333311558), 'rot': (0.9261803030967712, 0.3766847550868988, -0.00018494906544219702, 0.017280956730246544), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001800831378204748}
{'id_num': 42, 'pos': (0.3122362196445465, 0.3320033848285675, -0.002373117720708251), 'rot': (0.9261780381202698, 0.37669214606285095, -0.00020486637367866933, 0.01724168285727501), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001765385241014883}
{'id_num': 42, 'pos': (0.3122398257255554, 0.3320102393627167, -0.0023742199409753084), 'rot': (0.9261600971221924, 0.37673619389533997, -0.00015878485282883048, 0.017246268689632416), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00019440054893493652}
{'id_num': 42, 'pos': (0.3122381865978241, 0.3320077359676361, -0.0023779163602739573), 'rot': (0.9261600971221924, 0.37673744559288025, -0.00013178307563066483, 0.017216471955180168), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017932541959453374}
{'id_num': 42, 'pos': (0.31223562359809875, 0.33200597763061523, -0.0023740248288959265), 'rot': (0.9261608123779297, 0.3767317533493042, -0.00015026706387288868, 0.017303159460425377), 'markers': None, 'tracking_valid': True, 'marker_error': 0.0001756895362632349}
{'id_num': 42, 'pos': (0.31223446130752563, 0.33200201392173767, -0.0023732504341751337), 'rot': (0.926156222820282, 0.3767433762550354, -0.00016087901894934475, 0.017297467216849327), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018498339341022074}
{'id_num': 42, 'pos': (0.3122304677963257, 0.33200111985206604, -0.0023746141232550144), 'rot': (0.9261612892150879, 0.37673047184944153, -0.0001612223422853276, 0.017305782064795494), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00017840639338828623}
{'id_num': 42, 'pos': (0.31223076581954956, 0.33199986815452576, -0.002379033947363496), 'rot': (0.9261621832847595, 0.37673041224479675, -0.0001702033041510731, 0.017260443419218063), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018072985403705388}
Received data descriptions.
  ID: 42, Name: TurtleBot_test
{'id_num': 42, 'pos': (0.31223055720329285, 0.3320012092590332, -0.002380038844421506), 'rot': (0.9261738061904907, 0.37670570611953735, -0.00017603788000997156, 0.017176339402794838), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00018042810552287847}
{'id_num': 42, 'pos': (0.31223922967910767, 0.33200803399086, -0.002377043478190899), 'rot': (0.9261722564697266, 0.37670913338661194, -0.00017381062207277864, 0.01718268170952797), 'markers': None, 'tracking_valid': True, 'marker_error': 0.00019493178115226328}
